,country,ISO3
1,Afghanistan,AFG
2,Albania,ALB
3,Algeria,DZA
4,Angola,AGO
5,Argentina,ARG
6,Armenia,ARM
7,Australia,AUS
8,Austria,AUT
9,Azerbaijan,AZE
10,Bahamas,BHS
11,Bangladesh,BGD
12,Belarus,BLR
13,Belgium,BEL
14,Belize,BLZ
15,Benin,BEN
16,Bhutan,BTN
17,Bolivia,BOL
18,Bosnia and Herzegovina,BIH
19,Botswana,BWA
20,Brazil,BRA
21,Brunei,BRN
22,Bulgaria,BGR
23,Burkina Faso,BFA
24,Burundi,BDI
25,Cambodia,KHM
26,Cameroon,CMR
27,Canada,CAN
28,Cape Verde,CPV
29,Central African Republic,CAF
30,Chad,TCD
31,Chile,CHL
32,China,CHN
33,Colombia,COL
34,Comoros,COM
35,Congo (Republic of the),COG
36,Costa Rica,CRI
37,Cote d'Ivoire,CIV
38,Croatia,HRV
39,Cyprus,CYP
40,Czech Republic,CZE
41,Denmark,DNK
42,Djibouti,DJI
43,Dominican Republic,DOM
44,Ecuador,ECU
45,Egypt,EGY
46,El Salvador,SLV
47,Equatorial Guinea,GNQ
48,Estonia,EST
49,Ethiopia,ETH
50,Fiji,FJI
51,Finland,FIN
52,France,FRA
53,Gabon,GAB
54,Gambia,GMB
55,Georgia,GEO
56,Germany,DEU
57,Ghana,GHA
58,Greece,GRC
59,Guatemala,GTM
60,Guinea,GIN
61,Guinea-Bissau,GNB
62,Guyana,GUY
63,Haiti,HTI
64,Honduras,HND
65,Hungary,HUN
66,Iceland,ISL
67,India,IND
68,Indonesia,IDN
69,Iran,IRN
70,Iraq,IRQ
71,Ireland,IRL
72,Israel,ISR
73,Italy,ITA
74,Jamaica,JAM 
75,Japan,JPN 
76,Jordan,JOR 
77,Kazakhstan,KAZ 
78,Kenya,KEN 
79,Korea,KOR 
80,Kuwait,KWT 
81,Kyrgyzstan,KGZ 
82,Laos,LAO 
83,Latvia,LVA 
84,Lebanon,LBN 
85,Lesotho,LSO 
86,Liberia,LBR 
87,Libya,LBY 
88,Lithuania,LTU 
89,Luxembourg,LUX 
90,Macedonia,MKD 
91,Madagascar,MDG 
92,Malawi,MWI 
93,Malaysia,MYS 
94,Mali,MLI 
95,Mauritania,MRT 
96,Mauritius,MUS 
97,Mexico,MEX 
98,Moldova,MDA 
99,Mongolia,MNG 
100,Morocco,MAR 
101,Mozambique,MOZ 
102,Myanmar (Burma),MMR 
103,Namibia,NAM 
104,Nepal,NPL 
105,Netherlands,NLD 
106,New Zealand,NZL 
107,Nicaragua,NIC 
108,Niger,NER 
109,Nigeria,NGA 
110,Norway,NOR 
111,Oman,OMN 
112,Pakistan,PAK 
113,Panama,PAN 
114,Papua New Guinea,PNG 
115,Paraguay,PRY 
116,Peru,PER 
117,Philippines,PHL 
118,Poland,POL 
119,Portugal,PRT 
120,Puerto Rico,PRI 
121,Qatar,QAT  
122,Republic of Montenegro,MNE  
123,Republic of Serbia,SRB  
124,Russia,RUS  
125,Rwanda,RWA  
126,Samoa,WSM  
127,Sao Tome and Principe,STP  
128,Saudi Arabia,SAU  
129,Senegal,SEN  
130,Sierra Leone,SLE  
131,Slovakia,SVK  
132,Slovenia,SVN  
133,Solomon Islands,SLB  
134,South Africa,ZAF  
135,Spain,ESP  
136,Sri Lanka,LKA  
137,St. Vincent and the Grenadines,VCT  
138,Sudan,SDN  
139,Suriname,SUR  
140,Swaziland,SWZ  
141,Sweden,SWE  
142,Switzerland,CHE  
143,Tajikistan,TJK  
144,Tanzania,TZA  
145,Taiwan,TWN  
146,Thailand,THA  
147,Timor Leste,TLS  
148,Togo,TGO  
149,Trinidad and Tobago,TTO  
150,Tunisia,TUN  
151,Turkey,TUR  
152,Turkmenistan,TKM  
153,Uganda,UGA  
154,Ukraine,UKR  
155,United Arab Emirates,ARE  
156,United Kingdom,GBR  
157,United States,USA  
158,Uruguay,URY  
159,Uzbekistan,UZB  
160,Vanuatu,VUT  
161,Vietnam,VNM  
162,Zambia,ZMB  
163,Zimbabwe,ZWE   
